Field Size,"Sc,p"
1,0.937
1.5,0.94
2,0.944
2.5,0.947
3,0.91
3.5,0.917
4,0.923
4.5,0.931
5,0.938
5.5,0.946
6,0.953
6.5,0.96
7,0.967
7.5,0.974
8,0.981
8.5,0.986
9,0.991
9.5,0.996
10,1
10.5,1.004
11,1.007
11.5,1.011
12,1.014
12.5,1.017
13,1.019
13.5,1.022
14,1.025
14.5,1.028
15,1.03
15.5,1.032
16,1.034
16.5,1.036
17,1.037
17.5,1.04
18,1.042
18.5,1.045
19,1.047
19.5,1.049
20,1.045
20.5,1.052
21,1.054
21.5,1.055
22,1.057
22.5,1.058
23,1.059
23.5,1.06
24,1.062
24.5,1.063
25,1.065
25.5,1.067
26,1.068
26.5,1.069
27,1.07
27.5,1.071
28,1.072
28.5,1.073
29,1.074
29.5,1.076
30,1.077
