Field Size,"Sc,p"
1.0,0.367
1.5,0.560
2.0,0.753
2.5,0.825
3.0,0.896
3.5,0.910
4.0,0.924
4.5,0.933
5.0,0.942
5.5,0.949
6.0,0.956
6.5,0.962
7.0,0.969
7.5,0.974
8.0,0.979
8.5,0.985
9.0,0.990
9.5,0.995
10.0,1.000
10.5,1.004
11.0,1.008
11.5,1.012
12.0,1.016
12.5,1.019
13.0,1.021
13.5,1.024
14.0,1.027
14.5,1.029
15.0,1.032
15.5,1.034
16.0,1.036
16.5,1.038
17.0,1.040
17.5,1.043
18.0,1.045
18.5,1.047
19.0,1.049
19.5,1.051
20.0,1.053
20.5,1.055
21.0,1.056
21.5,1.058
22.0,1.059
22.5,1.061
23.0,1.062
23.5,1.064
24.0,1.065
24.5,1.067
25.0,1.068
25.5,1.070
26.0,1.071
26.5,1.073
27.0,1.075
27.5,1.077
28.0,1.078
28.5,1.080
29.0,1.082
29.5,1.083
30.0,1.085
30.5,1.086
31.0,1.087
31.5,1.088
32.0,1.089
32.5,1.090
33.0,1.091
33.5,1.092
34.0,1.093
34.5,1.094
35.0,1.095
35.5,1.096
36.0,1.096
36.5,1.097
37.0,1.097
37.5,1.098
38.0,1.099
38.5,1.099
39.0,1.100
39.5,1.100
40.0,1.101
